,Unit_id,UnitName
734,TRANSPORTATION AND PUBLIC WORKS 1-TIME CRITICAL/OTHER,TRANSPORTATION AND PUBLIC WORKS 1-TIME CRITICAL/OTHER
735,INFRASTRUCTURE OPERATIONS,INFRASTRUCTURE OPERATIONS
736,OFFICE OF THE CITY ENGINEER,OFFICE OF THE CITY ENGINEER
737,LOGISTICS AND FACILITY MANAGEMENT,LOGISTICS AND FACILITY MANAGEMENT
738,STRATEGIC COMMUNICATIONS,STRATEGIC COMMUNICATIONS
739,STRATEGIC MOBILITY,STRATEGIC MOBILITY
740,IH35 CAP AND STITCH,IH35 CAP AND STITCH
741,SEAL COAT 1,SEAL COAT 1
742,SEAL COAT 2,SEAL COAT 2
743,THIN SURFACE TREATMENTS CONTRACT,THIN SURFACE TREATMENTS CONTRACT
744,THIN SURFACE TREATMENTS,THIN SURFACE TREATMENTS
745,ASPHALT OVERLAY,ASPHALT OVERLAY
746,ASPHALT OVERLAY CONTRACT,ASPHALT OVERLAY CONTRACT
747,BRIDGE MAINTENANCE,BRIDGE MAINTENANCE
748,STREET ON-CALL AND CALL BACK,STREET ON-CALL AND CALL BACK
749,NORTH DISTRICT ROUTINE MAINT,NORTH DISTRICT ROUTINE MAINT
750,CENTRAL DIST ROUTINE MAINTENANCE,CENTRAL DIST ROUTINE MAINTENANCE
751,SOUTH DISTRICT ROUTINE MAINTNC,SOUTH DISTRICT ROUTINE MAINTNC
752,DOWNTOWN ENHANCEMENT MAINTENANCE,DOWNTOWN ENHANCEMENT MAINTENANCE
753,UTILITY EXCAVATION REPAIR,UTILITY EXCAVATION REPAIR
754,ADVANCED EDUCATION,ADVANCED EDUCATION
755,CONCRETE REPAIR & CONSTRUCTION,CONCRETE REPAIR & CONSTRUCTION
756,MOBILITY TRAILS MAINTENANCE,MOBILITY TRAILS MAINTENANCE
757,OFF-ROADWAY ROW MAINTENANCE,OFF-ROADWAY ROW MAINTENANCE
758,SIDEWALK PROGRAM,SIDEWALK PROGRAM
759,ROW TREE MAINTENANCE,ROW TREE MAINTENANCE
760,NEIGHBORHOOD PARTNERING PROGRAM,NEIGHBORHOOD PARTNERING PROGRAM
761,URBAN TRAILS,URBAN TRAILS
762,SAFE ROUTES TO SCHOOL INFRASTRUCTURE,SAFE ROUTES TO SCHOOL INFRASTRUCTURE
763,WORKPLACE PLANNING AND SUPPORT,WORKPLACE PLANNING AND SUPPORT
764,MOBILITY DATA MGMT,MOBILITY DATA MGMT
765,PARKING SPACE MANAGEMENT,PARKING SPACE MANAGEMENT
766,CHILD SAFETY COMMUNITY ENGAGEMENT,CHILD SAFETY COMMUNITY ENGAGEMENT
767,SAFETY EDUCATION,SAFETY EDUCATION
768,SCHOOL CROSSING GUARDS,SCHOOL CROSSING GUARDS
769,"MILLS ES/GORZYCKI MS - PED CROSSINGS, SIGNALS, AND BIKE LANE","MILLS ES/GORZYCKI MS - PED CROSSINGS, SIGNALS, AND BIKE LANE"
770,STORMWATER TREATMENT,STORMWATER TREATMENT
771,LOCAL FLOOD RISK REDUCTION,LOCAL FLOOD RISK REDUCTION
772,CREEK FLOOD RISK REDUCTION,CREEK FLOOD RISK REDUCTION
773,FIELD ENGINEERING SERVICES,FIELD ENGINEERING SERVICES
774,EXECUTIVE STAFF - ADM,EXECUTIVE STAFF - ADM
775,STREAM RESTORATION,STREAM RESTORATION
776,WALLER CREEK DISTRICT & EXTERNAL FUNDING PROGRAM,WALLER CREEK DISTRICT & EXTERNAL FUNDING PROGRAM
777,CAPITAL MANAGEMENT PROGRAM,CAPITAL MANAGEMENT PROGRAM
778,WATER QUALITY COMPLIANCE,WATER QUALITY COMPLIANCE
779,STORMWATER POND SAFETY,STORMWATER POND SAFETY
780,GEOLOGIC DRAINAGE SYSTEMS,GEOLOGIC DRAINAGE SYSTEMS
781,ENDANGERED SALAMANDER PROTECTION,ENDANGERED SALAMANDER PROTECTION
782,APPLIED WATER RESEARCH,APPLIED WATER RESEARCH
783,WATERSHED PROTECTION TECHNICAL ASSISTANCE,WATERSHED PROTECTION TECHNICAL ASSISTANCE
784,WATERSHED MODELING AND ANALYSIS,WATERSHED MODELING AND ANALYSIS
785,DEVELOPMENT REVIEW COORDINATION,DEVELOPMENT REVIEW COORDINATION
786,MODELING & FLOODPLAIN OFFICE,MODELING & FLOODPLAIN OFFICE
787,GEOSPATIAL ANALYSIS,GEOSPATIAL ANALYSIS
788,WATERSHED PLANNING,WATERSHED PLANNING
789,CRIME SCENE,CRIME SCENE
790,WATER QUALITY ADMINISTRATION,WATER QUALITY ADMINISTRATION
791,ENVIRONMENTAL POLICY,ENVIRONMENTAL POLICY
792,STORM DRAIN CLEANING,STORM DRAIN CLEANING
793,INFRASTRUCTURE INSPECTION,INFRASTRUCTURE INSPECTION
794,STORM DRAIN REHAB,STORM DRAIN REHAB
795,WALLER CREEK TUNNEL O&M,WALLER CREEK TUNNEL O&M
796,GREEN INFRASTRUCTURE MAINTENANCE,GREEN INFRASTRUCTURE MAINTENANCE
797,EROSION REPAIR,EROSION REPAIR
798,OPEN WATERWAY MAINTENANCE,OPEN WATERWAY MAINTENANCE
799,FLOOD EARLY WARNING SYSTEM,FLOOD EARLY WARNING SYSTEM
800,LADY BIRD LAKE MAINTENANCE,LADY BIRD LAKE MAINTENANCE
801,POND MAINTENANCE,POND MAINTENANCE
802,HOMELESSNESS IMPACT MANAGEMENT,HOMELESSNESS IMPACT MANAGEMENT
803,WATERSHED EDUCATION,WATERSHED EDUCATION
804,IT MANAGEMENT,IT MANAGEMENT
805,PERSONNEL/TRAINING,PERSONNEL/TRAINING
806,FEE ADMINISTRATION,FEE ADMINISTRATION
807,FINANCIAL MONITORING/BUDGETING,FINANCIAL MONITORING/BUDGETING
808,PIO/COMMUNITY SERVICES,PIO/COMMUNITY SERVICES
809,DEPARTMENT ADMINISTRATION SUPPORT,DEPARTMENT ADMINISTRATION SUPPORT
810,TRANSFERS OUT - OTHER,TRANSFERS OUT - OTHER
811,BARTON SPRINGS SALAMANDER CONSERVATION FUND,BARTON SPRINGS SALAMANDER CONSERVATION FUND
812,DRAINAGE CIP TRANSFERS TO,DRAINAGE CIP TRANSFERS TO
813,COMPREHENSIVE & DISTRICT PLANNING,COMPREHENSIVE & DISTRICT PLANNING
814,EQUITABLE TOD & CODE AMENDMENT,EQUITABLE TOD & CODE AMENDMENT
815,ZONING & ANNEXATION,ZONING & ANNEXATION
816,HISTORIC PRESERVATION,HISTORIC PRESERVATION
817,URBAN DESIGN,URBAN DESIGN
818,DEMOGRAPHICS AND DATA,DEMOGRAPHICS AND DATA
819,PIO COMMUNITY SERVICES,PIO COMMUNITY SERVICES
820,PLANNING,PLANNING
821,AUDIT,AUDIT
822,INTEGRITY SERVICES,INTEGRITY SERVICES
823,PROGRAM DELIVERY & REAL ESTATE SERVICES,PROGRAM DELIVERY & REAL ESTATE SERVICES
824,REAL ESTATE PERSONNEL,REAL ESTATE PERSONNEL
825,CLIENT SERVICES AND PERSONNEL,CLIENT SERVICES AND PERSONNEL
826,DISPLACEMENT PREVENTION,DISPLACEMENT PREVENTION
827,URBAN RENEWAL AGENCY,URBAN RENEWAL AGENCY
828,CONNELLY-YERWOOD,CONNELLY-YERWOOD
829,INCLUSIVE PLANNING,INCLUSIVE PLANNING
830,IMAGINE AUSTIN,IMAGINE AUSTIN
831,ZONING & URBAN DESIGN,ZONING & URBAN DESIGN
832,PERSONNEL - TRAINING,PERSONNEL - TRAINING
833,DEMOGRAPHICS & DATA,DEMOGRAPHICS & DATA
834,ADMINISTRATION & COMMUNICATIONS,ADMINISTRATION & COMMUNICATIONS
835,FACILITY EXPENSES,FACILITY EXPENSES
836,HOUSING 1-TIME CRITICAL/OTHER,HOUSING 1-TIME CRITICAL/OTHER
837,ACQUISITION & DEVELOPMENT,ACQUISITION & DEVELOPMENT
838,PREFERENCE POLICY INCENTIVE,PREFERENCE POLICY INCENTIVE
839,HOMELESS SHELTER ACQUISITION,HOMELESS SHELTER ACQUISITION
840,EMERGENCY TENANT RELOCATION,EMERGENCY TENANT RELOCATION
841,RENTAL HOUSING DEVELOPMENT ASSISTANCE,RENTAL HOUSING DEVELOPMENT ASSISTANCE
842,2FTH THE IVORY,2FTH THE IVORY
843,2REH THE REBECCA,2REH THE REBECCA
844,2REH THE WORKS III,2REH THE WORKS III
845,2REH REAL GARDENS,2REH REAL GARDENS
846,BUDGET OFFICE,BUDGET OFFICE
847,ACCOUNTING & REPORTING - CONTR,ACCOUNTING & REPORTING - CONTR
848,ADMIN & MANAGEMENT CONTROLLERS,ADMIN & MANAGEMENT CONTROLLERS
849,ACCOUNTS PAYABLE - CONTROLLERS,ACCOUNTS PAYABLE - CONTROLLERS
850,PAYROLL - CONTROLLERS,PAYROLL - CONTROLLERS
851,CP - AUSTIN ENERGY PROCUREMENT (EMBEDDED),CP - AUSTIN ENERGY PROCUREMENT (EMBEDDED)
852,AVIATION PROCUREMENT,AVIATION PROCUREMENT
853,CP - PURCHASING (CITYWIDE),CP - PURCHASING (CITYWIDE)
854,BUYING - CTM,BUYING - CTM
855,CP - PROCUREMENT PROGRAMS (CITYWIDE),CP - PROCUREMENT PROGRAMS (CITYWIDE)
856,CREDIT CARD PROGRAM,CREDIT CARD PROGRAM
857,CP - CONSTRUCTION PROCUREMENT (EMBEDDED),CP - CONSTRUCTION PROCUREMENT (EMBEDDED)
858,CCO ALTERNATIVE DELIVERY PROCUREMENT & CONTRACTING,CCO ALTERNATIVE DELIVERY PROCUREMENT & CONTRACTING
859,CCO ADMINISTRATION & PROGRAM MANAGEMENT,CCO ADMINISTRATION & PROGRAM MANAGEMENT
860,ORES ADMINISTRATION & PROGRAM MANAGEMENT,ORES ADMINISTRATION & PROGRAM MANAGEMENT
861,LEASING AND PROPERTY MANAGEMENT,LEASING AND PROPERTY MANAGEMENT
862,APPRAISALS,APPRAISALS
863,REAL PROPERTY ACQUISITION,REAL PROPERTY ACQUISITION
864,DEBT MANAGEMENT - TREASURY,DEBT MANAGEMENT - TREASURY
865,INVESTMENT MNGT - TREASURY,INVESTMENT MNGT - TREASURY
866,MERCHANT PROCESSING - TREASURY,MERCHANT PROCESSING - TREASURY
867,ONLINE PAYMENT FEES - TREASURY,ONLINE PAYMENT FEES - TREASURY
868,ADMIN & MANAGEMENT    TREASURY,ADMIN & MANAGEMENT    TREASURY
869,COMMUNITY TECHNOLOGY INITIATIV,COMMUNITY TECHNOLOGY INITIATIV
870,CLAIMS COLLECTIONS - TARA,CLAIMS COLLECTIONS - TARA
871,FRANCHISE/ROW MNGT - TARA,FRANCHISE/ROW MNGT - TARA
872,CAB-CREDIT ACCESS BUSINESS ADMIN,CAB-CREDIT ACCESS BUSINESS ADMIN
873,ADMIN & MANAGEMENT - TARA,ADMIN & MANAGEMENT - TARA
874,FINANCIAL IT EXPENSES,FINANCIAL IT EXPENSES
875,ADMINISTRATION AND MANAGEMENT DIRECTORS OFFICE,ADMINISTRATION AND MANAGEMENT DIRECTORS OFFICE
876,ADMINISTRATION & RECORDS,ADMINISTRATION & RECORDS
877,FINANCIAL AND PURCHASING SERVICES,FINANCIAL AND PURCHASING SERVICES
878,FINANCIAL SUPPORT,FINANCIAL SUPPORT
879,CENTRAL FINANCE,CENTRAL FINANCE
880,"STRATEGY, DATA ANALYTICS, AND CONTINUOUS IMPROVEMENT","STRATEGY, DATA ANALYTICS, AND CONTINUOUS IMPROVEMENT"
881,UNCLAIMED PROPERTY REV/EXP,UNCLAIMED PROPERTY REV/EXP
882,FACILITY OPERATIONS,FACILITY OPERATIONS
883,ATXN PEG FUNDS,ATXN PEG FUNDS
884,PID ADMINISTRATION,PID ADMINISTRATION
885,RAINEY STREET OPERATING,RAINEY STREET OPERATING
886,GENERAL MAINTENANCE - BSD,GENERAL MAINTENANCE - BSD
887,ELECTRICAL  - BLD SERVC,ELECTRICAL  - BLD SERVC
888,HVAC - BLD SERV.,HVAC - BLD SERV.
889,CUSTODIAL - BLD SRV,CUSTODIAL - BLD SRV
890,CUSTODIAL - AE REIMBURSED,CUSTODIAL - AE REIMBURSED
891,PROJECT MANAGEMENT - BSD,PROJECT MANAGEMENT - BSD
892,HAZARDOUS MATERIALS MITIGATION,HAZARDOUS MATERIALS MITIGATION
893,CONTRACT MAINTENANCE,CONTRACT MAINTENANCE
894,POLICE FACILITIES MAINTENANCE,POLICE FACILITIES MAINTENANCE
895,PROPERTY MANAGEMENT - RBJ,PROPERTY MANAGEMENT - RBJ
896,PROPERTY MANAGEMENT - MUNICIPAL BUILDING,PROPERTY MANAGEMENT - MUNICIPAL BUILDING
897,PROPERTY MANAGEMENT - TECHNI CENTER,PROPERTY MANAGEMENT - TECHNI CENTER
898,PROPERTY MANAGEMENT - PSTC,PROPERTY MANAGEMENT - PSTC
899,PROPERTY MANAGEMENT - BETTY DUNKERLEY CAMPUS,PROPERTY MANAGEMENT - BETTY DUNKERLEY CAMPUS
900,PROPERTY MANAGEMENT - BSD HQ,PROPERTY MANAGEMENT - BSD HQ
901,PROPERTY MANAGEMENT - CITY HALL,PROPERTY MANAGEMENT - CITY HALL
902,PROPERTY MANAGEMENT - RLC,PROPERTY MANAGEMENT - RLC
903,PROPERTY MANAGEMENT - TLC,PROPERTY MANAGEMENT - TLC
904,PROPERTY MANAGEMENT - CTECC,PROPERTY MANAGEMENT - CTECC
905,PROPERTY MANAGEMENT - PDC,PROPERTY MANAGEMENT - PDC
906,PROPERTY MANAGEMENT - ARTHUR B. DEWITTY,PROPERTY MANAGEMENT - ARTHUR B. DEWITTY
907,PROPERTY MANAGEMENT - AUSTIN PUBLIC MEDIA,PROPERTY MANAGEMENT - AUSTIN PUBLIC MEDIA
908,PROPERTY MANAGEMENT - BEN WHITE,PROPERTY MANAGEMENT - BEN WHITE
909,SECURITY - BLD SERVICE,SECURITY - BLD SERVICE
910,MAIL AND PACKAGE SERVICES,MAIL AND PACKAGE SERVICES
911,SAFETY - BLD SERVC,SAFETY - BLD SERVC
912,POSTAGE,POSTAGE
913,ADMIN & MNGT - BLD SRV,ADMIN & MNGT - BLD SRV
914,FACILITY EXP - GF UTILITY BLD,FACILITY EXP - GF UTILITY BLD
915,CITY HALL PARKING,CITY HALL PARKING
916,RUTHERFORD LANE CAMPUS,RUTHERFORD LANE CAMPUS
917,INTERFUND TRANSFERS-TRUST/SR,INTERFUND TRANSFERS-TRUST/SR
918,TRANSFER UNIT,TRANSFER UNIT
919,"MARKETING,OUTREACH,BUS. DEVEL.","MARKETING,OUTREACH,BUS. DEVEL."
920,MBE-WBE CERTIFICATION,MBE-WBE CERTIFICATION
921,SERVICE CENTER # 1 - INV CONTR,SERVICE CENTER # 1 - INV CONTR
922,TIRES - INV CONTR,TIRES - INV CONTR
923,SERVICE CENTER # 5 - INV CONTR,SERVICE CENTER # 5 - INV CONTR
924,SERVICE CENTER # 6 - INV CONTR,SERVICE CENTER # 6 - INV CONTR
925,SERVICE CENTER # 8 - INV CONTR,SERVICE CENTER # 8 - INV CONTR
926,SVS CENTER #11 INV CONTR,SVS CENTER #11 INV CONTR
927,SERVICE CENTER #13 - INV CONTR,SERVICE CENTER #13 - INV CONTR
928,MATERIALS MANAGEMENT,MATERIALS MANAGEMENT
929,SERVICE CENTER #1,SERVICE CENTER #1
930,SERVICE CENTER #5,SERVICE CENTER #5
931,SERVICE CENTER #6,SERVICE CENTER #6
932,SERVICE CENTER #8,SERVICE CENTER #8
933,SERVICE CENTER #11,SERVICE CENTER #11
934,SERVICE CENTER #13,SERVICE CENTER #13
935,WELDING SHOP,WELDING SHOP
936,SERVICE CENTER MANAGEMENT,SERVICE CENTER MANAGEMENT
937,TECHNOLOGY AND ADMINISTRATION,TECHNOLOGY AND ADMINISTRATION
938,FUEL SUPPORT,FUEL SUPPORT
939,MAKE READY,MAKE READY
940,AUCTION,AUCTION
941,ACQUISITIONS,ACQUISITIONS
942,VEHICLE MANAGEMENT,VEHICLE MANAGEMENT
943,RENTAL POOL,RENTAL POOL
944,SHUTTLE SERVICE,SHUTTLE SERVICE
945,ACCIDENT REPAIR COORDINATION,ACCIDENT REPAIR COORDINATION
946,PROGRAM MANAGEMENT,PROGRAM MANAGEMENT
947,AIRSIDE MAINTENANCE,AIRSIDE MAINTENANCE
948,BUILDING MAINTENANCE,BUILDING MAINTENANCE
949,LANDSIDE MAINTENANCE,LANDSIDE MAINTENANCE
950,WAREHOUSE,WAREHOUSE
951,ASSET MANAGEMENT SERVICES,ASSET MANAGEMENT SERVICES
952,MECHANIC SHOP,MECHANIC SHOP
953,SIGN SHOP,SIGN SHOP
954,AIRSIDE OPERATIONS,AIRSIDE OPERATIONS
955,TERMINAL OPERATIONS,TERMINAL OPERATIONS
956,LANDSIDE OPERATIONS,LANDSIDE OPERATIONS
957,GROUND TRANSPORTATION OPERATIONS,GROUND TRANSPORTATION OPERATIONS
958,AIRCRAFT RESCUE AND FIREFIGHTING (ARFF),AIRCRAFT RESCUE AND FIREFIGHTING (ARFF)
959,EMS SERVICES,EMS SERVICES
960,AIRPORT SECURITY,AIRPORT SECURITY
961,AUSTIN POLICE DEPARTMENT (APD),AUSTIN POLICE DEPARTMENT (APD)
962,BADGING & ID,BADGING & ID
963,AIRLINES MAINTENANCE,AIRLINES MAINTENANCE
964,ENVIRONMENTAL AFFAIRS,ENVIRONMENTAL AFFAIRS
965,PLANNING & DEVELOPMENT,PLANNING & DEVELOPMENT
966,AIRPORT PLANNING,AIRPORT PLANNING
967,PROJECT CONTROLS,PROJECT CONTROLS
968,PARKING OPERATIONS,PARKING OPERATIONS
969,AIRPORT BUSINESS DEVELOPMENT & PROPERTY MANAGEMENT,AIRPORT BUSINESS DEVELOPMENT & PROPERTY MANAGEMENT
970,INFORMATION SYSTEMS,INFORMATION SYSTEMS
971,SHARED TENANT SERVICES,SHARED TENANT SERVICES
972,COMMON USE,COMMON USE
973,GUEST SERVICES,GUEST SERVICES
974,AIR SERVICE DEVELOPMENT,AIR SERVICE DEVELOPMENT
975,PIO & MARKETING,PIO & MARKETING
976,SOUTH TERMINAL,SOUTH TERMINAL
977,STRATEGY PLANNING,STRATEGY PLANNING
978,ADMINISTRATIVE SUPPORT,ADMINISTRATIVE SUPPORT
979,CARGO FACILITIES,CARGO FACILITIES
980,TALENT ACQUISITION,TALENT ACQUISITION
981,AIRPORT AFFAIRS,AIRPORT AFFAIRS
982,CC REPAIR/REPLACEMENT,CC REPAIR/REPLACEMENT
983,BOOKING/CONTRACTING,BOOKING/CONTRACTING
984,CONVENTION SALES AND SERVICING,CONVENTION SALES AND SERVICING
985,MARKETING,MARKETING
986,EVENT SET UP OPERATIONS,EVENT SET UP OPERATIONS
987,ACC CATERING,ACC CATERING
988,OPERATIONS ADMINISTRATION,OPERATIONS ADMINISTRATION
989,BUILDING OPERATIONS,BUILDING OPERATIONS
990,WAREHOUSE AND MARSHALLING YARD,WAREHOUSE AND MARSHALLING YARD
991,TRASK HOUSE,TRASK HOUSE
992,EVENT MANAGEMENT,EVENT MANAGEMENT
993,PARKING GARAGE,PARKING GARAGE
994,PARKING GARAGE EXPANSION,PARKING GARAGE EXPANSION
995,CLIENT SERVICES SECURITY,CLIENT SERVICES SECURITY
996,NON EVENT OPS SECURITY,NON EVENT OPS SECURITY
997,UTILITIES CONVENTION CENTER,UTILITIES CONVENTION CENTER
998,TELECOM - CONVENTION CENTER,TELECOM - CONVENTION CENTER
999,TECHNICAL SRV CONVENTION CNTER,TECHNICAL SRV CONVENTION CNTER
1000,BUSINESS CENTER,BUSINESS CENTER
1001,PURCHASING/MBE/WBE,PURCHASING/MBE/WBE
1002,EVENT BOOKING & CONTRACT PEC,EVENT BOOKING & CONTRACT PEC
1003,EVENT SET UP OPS PEC,EVENT SET UP OPS PEC
1004,OPERATIONS ADMINISTRATION PEC,OPERATIONS ADMINISTRATION PEC
1005,BUILDING OPERATIONS PEC,BUILDING OPERATIONS PEC
1006,EVENT PLANNING TLP,EVENT PLANNING TLP
1007,EVENT SECURITY  PEC,EVENT SECURITY  PEC
1008,NON EVENT OPS SECURITY  PEC,NON EVENT OPS SECURITY  PEC
1009,UTILITIES PEC,UTILITIES PEC
1010,TELECOM PEC,TELECOM PEC
1011,TECHNICAL SERVICES PEC,TECHNICAL SERVICES PEC
1012,ACC CATERING-PEC,ACC CATERING-PEC
1013,PARKING MANAGEMENT PEC,PARKING MANAGEMENT PEC
1014,EMERGENCY OPERATIONS,EMERGENCY OPERATIONS
1015,SPECIAL OPERATIONS,SPECIAL OPERATIONS
1016,BERGSTROM AFR,BERGSTROM AFR
1017,OPERATIONS RESEARCH AIR MASK,OPERATIONS RESEARCH AIR MASK
1018,VEHICLE AND EQUIPMENT SUPPORT,VEHICLE AND EQUIPMENT SUPPORT
1019,SAFETY OPERATIONS,SAFETY OPERATIONS
1020,WELLNESS CENTER,WELLNESS CENTER
1021,RISK ASSESSMENT,RISK ASSESSMENT
1022,ED SVCS AND MED SVCS,ED SVCS AND MED SVCS
1023,MEDICAL OPERATIONS,MEDICAL OPERATIONS
1024,FIRE MARSHAL'S OFFICE,FIRE MARSHAL'S OFFICE
1025,RESEARCH AND PLANNING,RESEARCH AND PLANNING
1026,CADET EMPLOYMENT PROCESSING,CADET EMPLOYMENT PROCESSING
1027,FINANCE/BUDGET/PAYROLL,FINANCE/BUDGET/PAYROLL
1028,PROFESSIONAL STANDARDS UNIT,PROFESSIONAL STANDARDS UNIT
1029,FIRE 1-TIME CRITICAL/OTHER,FIRE 1-TIME CRITICAL/OTHER
1030,SMOKE DETECTOR PROGRAM,SMOKE DETECTOR PROGRAM
1031,DELETE - DO NOT USE,DELETE - DO NOT USE
1032,AUSTIN HISTORY CENTER,AUSTIN HISTORY CENTER
1033,CENTRAL CIRCULATION,CENTRAL CIRCULATION
1034,BRANCH SERVICES,BRANCH SERVICES
1035,DELIVERY - CIRC. SUPPORT,DELIVERY - CIRC. SUPPORT
1036,YOUTH SERVICES,YOUTH SERVICES
1037,PROGRAMS AND PARTNERSHIPS,PROGRAMS AND PARTNERSHIPS
1038,OUTREACH,OUTREACH
1039,REFERENCE,REFERENCE
1040,PUBLIC PRINTING SERVICES,PUBLIC PRINTING SERVICES
1041,COMMUNITY SERVICES,COMMUNITY SERVICES
1042,CATALOGING SUPPORT,CATALOGING SUPPORT
1043,COLLECTION SUPPORT,COLLECTION SUPPORT
1044,ADMINISTRATION,ADMINISTRATION
1045,MAIL SERVICES,MAIL SERVICES
1046,FACILITIES SERVICES,FACILITIES SERVICES
1047,SECURITY,SECURITY
1048,CUSTODIAL,CUSTODIAL
1049,VEHICLE MAINTENANCE,VEHICLE MAINTENANCE
1050,SALES AND EVENT SERVICES,SALES AND EVENT SERVICES
1051,LIBRARY 1-TIME CRITICAL/OTHER,LIBRARY 1-TIME CRITICAL/OTHER
1052,SPECIAL LIBRARY TRUST   FD 724,SPECIAL LIBRARY TRUST   FD 724
1053,MEMORIALS/MISC         FD 724,MEMORIALS/MISC         FD 724
1054,DIGITAL MATERIALS-AE,DIGITAL MATERIALS-AE
1055,NEW CENTRAL LIBRARY,NEW CENTRAL LIBRARY
1056,GOOGLE FIBER DIGITAL LITERACY,GOOGLE FIBER DIGITAL LITERACY
1057,MSDF CONNECTED YOUTH YR 9-10,MSDF CONNECTED YOUTH YR 9-10
1058,AUSTIN HISTORY CENTER TRUST,AUSTIN HISTORY CENTER TRUST
1059,APL BOOK STORE,APL BOOK STORE
1060,NCL PARKING GARAGE,NCL PARKING GARAGE
1061,NCL FACILITY RENTALS,NCL FACILITY RENTALS
1062,NCL GIFT SHOP,NCL GIFT SHOP
1063,TRAIL MAINTENANCE,TRAIL MAINTENANCE
1064,FACILITY MAINTENANCE NORTH,FACILITY MAINTENANCE NORTH
1065,SOUTH PARK DISTRICT MAINTENANCE,SOUTH PARK DISTRICT MAINTENANCE
1066,IRRIGATION AND PLUMBING,IRRIGATION AND PLUMBING
1067,HORTICULTURE,HORTICULTURE
1068,PLAYGROUND MAINTENANCE,PLAYGROUND MAINTENANCE
1069,FACILITY MAINTENANCE SOUTH,FACILITY MAINTENANCE SOUTH
1070,HISTORIC PRESERVATION & TOURISM PROGRAM,HISTORIC PRESERVATION & TOURISM PROGRAM
1071,PARK PLANNING,PARK PLANNING
1072,SITE DEVELOPMENT,SITE DEVELOPMENT
1073,ARCHITECTURAL DEVELOPMENT,ARCHITECTURAL DEVELOPMENT
1074,WALLER CREEK DISTRICT,WALLER CREEK DISTRICT
1075,FACILITY CONSTRUCTION,FACILITY CONSTRUCTION
1076,ASSET MANAGEMENT,ASSET MANAGEMENT
1077,PARKLAND DEDICATION REVIW TEAM,PARKLAND DEDICATION REVIW TEAM
1078,SOUTH PARK DISTRICT SERVICING,SOUTH PARK DISTRICT SERVICING
1079,NORTH PARK DISTRICT SERVICING,NORTH PARK DISTRICT SERVICING
1080,NORTHEAST PARK DISTRICT MAINTENANCE,NORTHEAST PARK DISTRICT MAINTENANCE
1081,NORTH PARK DISTRICT MAINTENANCE,NORTH PARK DISTRICT MAINTENANCE
1082,GRAFFITI ABATEMENT,GRAFFITI ABATEMENT
1083,SOUTH PARK DISTRICT MOWING,SOUTH PARK DISTRICT MOWING
1084,ZILKER PARK MAINTENANCE,ZILKER PARK MAINTENANCE
1085,NORTHEAST PARK DISTRICT SERVICING,NORTHEAST PARK DISTRICT SERVICING
1086,NORTH PARK DISTRICT MOWING,NORTH PARK DISTRICT MOWING
1087,OPERATIONS AND MAINTENANCE ADMINISTRATION,OPERATIONS AND MAINTENANCE ADMINISTRATION
1088,ATHLETICS SOFTBALL MAINTENANCE,ATHLETICS SOFTBALL MAINTENANCE
1089,HOMELESS RESPONSE,HOMELESS RESPONSE
1090,INSTRUCTIONAL SWIM PROGRAM,INSTRUCTIONAL SWIM PROGRAM
1091,AQUATICS ADMINISTRATION,AQUATICS ADMINISTRATION
1092,PUBLIC POOLS,PUBLIC POOLS
1093,BARTON SPRINGS POOL,BARTON SPRINGS POOL
1094,AQUATICS MAINTENANCE,AQUATICS MAINTENANCE
1095,DEEP EDDY POOL,DEEP EDDY POOL
1096,AUSTIN RECREATION CENTER,AUSTIN RECREATION CENTER
1097,INDIRECT ATHLETIC PROGRAMS,INDIRECT ATHLETIC PROGRAMS
1098,DIRECT ATHLETIC PROGRAMS,DIRECT ATHLETIC PROGRAMS
1099,YOUTH SPORTS ORGANIZATIONS,YOUTH SPORTS ORGANIZATIONS
1100,TENNIS ADMINISTRATION,TENNIS ADMINISTRATION
1101,ATHLETICS ADMINISTRATION,ATHLETICS ADMINISTRATION
1102,AUSTIN HIGH TENNIS CENTER,AUSTIN HIGH TENNIS CENTER
1103,CASWELL TENNIS CENTER,CASWELL TENNIS CENTER
1104,PHARR TENNIS CENTER,PHARR TENNIS CENTER
1105,SOUTH AUSTIN TENNIS CENTER,SOUTH AUSTIN TENNIS CENTER
1106,AUSTIN TENNIS CENTER,AUSTIN TENNIS CENTER
1107,MORRIS WILLIAMS GOLF COURSE,MORRIS WILLIAMS GOLF COURSE
1108,GOLF MAINTENANCE,GOLF MAINTENANCE
1109,CAMACHO ACTIVITY CENTER,CAMACHO ACTIVITY CENTER
1110,AUSTIN NATURE & SCIENCE CENTER,AUSTIN NATURE & SCIENCE CENTER
1111,NATURAL RESOURCES ADMINISTRATION,NATURAL RESOURCES ADMINISTRATION
1112,PARK RANGER PROGRAM,PARK RANGER PROGRAM
1113,ZILKER BOTANICAL GARDEN CENTER,ZILKER BOTANICAL GARDEN CENTER
1114,ZILKER BOTANICAL GARDEN DIRECT IMPROVEMENTS,ZILKER BOTANICAL GARDEN DIRECT IMPROVEMENTS
1115,MAYFIELD PARK AND NATURE PRESERVE,MAYFIELD PARK AND NATURE PRESERVE
